epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
0,,,49,11.02686595916748,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
0,,,99,7.766647815704346,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
0,,,149,7.7912397384643555,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
0,,,199,5.677707672119141,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
0,,,249,4.391362190246582,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
0,,,299,4.743399143218994,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
0,,,349,4.110774040222168,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
0,,,399,4.055924892425537,
,5.338882282996434e-05,5.338882282996434e-05,449,,
