epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,2.3300047551117454e-06,2.3300047551117454e-06,49,,
0,,,49,10.037847518920898,
,4.707560627674751e-06,4.707560627674751e-06,99,,
0,,,99,8.227592468261719,
,7.085116500237756e-06,7.085116500237756e-06,149,,
0,,,149,4.761557102203369,
,9.46267237280076e-06,9.46267237280076e-06,199,,
0,,,199,3.887477397918701,
,1.1840228245363768e-05,1.1840228245363768e-05,249,,
0,,,249,4.026156425476074,
,1.4217784117926772e-05,1.4217784117926772e-05,299,,
0,,,299,2.6466195583343506,
,1.6595339990489778e-05,1.6595339990489778e-05,349,,
0,,,349,2.639416456222534,
,1.8972895863052782e-05,1.8972895863052782e-05,399,,
0,,,399,2.2878806591033936,
,2.1350451735615786e-05,2.1350451735615786e-05,449,,
0,,,449,2.8494069576263428,
,2.3728007608178794e-05,2.3728007608178794e-05,499,,
0,,,499,2.4249331951141357,
,2.6105563480741794e-05,2.6105563480741794e-05,549,,
0,,,549,2.7200100421905518,
,2.8483119353304805e-05,2.8483119353304805e-05,599,,
0,,,599,2.4041965007781982,
,3.0860675225867806e-05,3.0860675225867806e-05,649,,
0,,,649,2.385659694671631,
,3.323823109843081e-05,3.323823109843081e-05,699,,
0,,,699,2.0113766193389893,
,3.561578697099382e-05,3.561578697099382e-05,749,,
0,,,749,2.109243392944336,
,3.799334284355682e-05,3.799334284355682e-05,799,,
0,,,799,2.8756825923919678,
,4.037089871611983e-05,4.037089871611983e-05,849,,
0,,,849,2.0881330966949463,
,4.2748454588682836e-05,4.2748454588682836e-05,899,,
0,,,899,2.109823703765869,
,4.5126010461245844e-05,4.5126010461245844e-05,949,,
0,,,949,2.473573923110962,
,4.7503566333808845e-05,4.7503566333808845e-05,999,,
0,,,999,2.2598142623901367,
,4.988112220637185e-05,4.988112220637185e-05,1049,,
0,,,1049,2.5112428665161133,
,5.225867807893485e-05,5.225867807893485e-05,1099,,
0,,,1099,2.327691078186035,
,5.463623395149786e-05,5.463623395149786e-05,1149,,
0,,,1149,2.3471479415893555,
,5.701378982406087e-05,5.701378982406087e-05,1199,,
0,,,1199,2.635776996612549,
,5.939134569662388e-05,5.939134569662388e-05,1249,,
0,,,1249,2.211858034133911,
,6.176890156918688e-05,6.176890156918688e-05,1299,,
0,,,1299,2.4894213676452637,
,6.414645744174989e-05,6.414645744174989e-05,1349,,
0,,,1349,2.2192654609680176,
,6.65240133143129e-05,6.65240133143129e-05,1399,,
0,,,1399,2.1457314491271973,
,6.890156918687589e-05,6.890156918687589e-05,1449,,
0,,,1449,2.6698789596557617,
,7.12791250594389e-05,7.12791250594389e-05,1499,,
0,,,1499,2.207099437713623,
,7.36566809320019e-05,7.36566809320019e-05,1549,,
0,,,1549,2.7153360843658447,
,7.60342368045649e-05,7.60342368045649e-05,1599,,
0,,,1599,2.2757675647735596,
,7.841179267712792e-05,7.841179267712792e-05,1649,,
0,,,1649,1.8770866394042969,
,8.078934854969093e-05,8.078934854969093e-05,1699,,
0,,,1699,2.226577043533325,
,8.316690442225392e-05,8.316690442225392e-05,1749,,
0,,,1749,2.396880626678467,
,8.554446029481693e-05,8.554446029481693e-05,1799,,
0,,,1799,2.5850770473480225,
,8.792201616737994e-05,8.792201616737994e-05,1849,,
0,,,1849,2.316620349884033,
,9.029957203994295e-05,9.029957203994295e-05,1899,,
0,,,1899,2.2435524463653564,
,9.267712791250594e-05,9.267712791250594e-05,1949,,
0,,,1949,2.7745232582092285,
,9.505468378506896e-05,9.505468378506896e-05,1999,,
0,,,1999,2.183504819869995,
,9.743223965763197e-05,9.743223965763197e-05,2049,,
0,,,2049,2.704002618789673,
,9.980979553019496e-05,9.980979553019496e-05,2099,,
0,,,2099,2.149608612060547,
0,,,2102,,0.0
,9.975696095524913e-05,9.975696095524913e-05,2149,,
1,,,2149,1.8818943500518799,
,9.94927880805199e-05,9.94927880805199e-05,2199,,
1,,,2199,3.0839357376098633,
,9.922861520579068e-05,9.922861520579068e-05,2249,,
1,,,2249,2.5606839656829834,
,9.896444233106145e-05,9.896444233106145e-05,2299,,
1,,,2299,1.6052998304367065,
,9.870026945633223e-05,9.870026945633223e-05,2349,,
1,,,2349,2.11732816696167,
,9.843609658160302e-05,9.843609658160302e-05,2399,,
1,,,2399,1.9227546453475952,
,9.817192370687379e-05,9.817192370687379e-05,2449,,
1,,,2449,2.5741519927978516,
,9.790775083214457e-05,9.790775083214457e-05,2499,,
1,,,2499,2.390115737915039,
,9.764357795741534e-05,9.764357795741534e-05,2549,,
1,,,2549,2.5896923542022705,
,9.737940508268612e-05,9.737940508268612e-05,2599,,
1,,,2599,2.3427157402038574,
,9.711523220795689e-05,9.711523220795689e-05,2649,,
1,,,2649,2.646179676055908,
,9.685105933322767e-05,9.685105933322767e-05,2699,,
1,,,2699,2.262432813644409,
,9.658688645849844e-05,9.658688645849844e-05,2749,,
1,,,2749,2.6160593032836914,
,9.632271358376923e-05,9.632271358376923e-05,2799,,
1,,,2799,2.8558549880981445,
,9.605854070904e-05,9.605854070904e-05,2849,,
1,,,2849,2.7851555347442627,
,9.579436783431078e-05,9.579436783431078e-05,2899,,
1,,,2899,2.672128915786743,
,9.553019495958155e-05,9.553019495958155e-05,2949,,
1,,,2949,2.3856008052825928,
,9.526602208485233e-05,9.526602208485233e-05,2999,,
1,,,2999,2.4729199409484863,
,9.50018492101231e-05,9.50018492101231e-05,3049,,
1,,,3049,2.436182737350464,
,9.473767633539388e-05,9.473767633539388e-05,3099,,
1,,,3099,2.239440679550171,
,9.447350346066465e-05,9.447350346066465e-05,3149,,
1,,,3149,1.9562077522277832,
,9.420933058593544e-05,9.420933058593544e-05,3199,,
1,,,3199,2.2206263542175293,
,9.394515771120622e-05,9.394515771120622e-05,3249,,
1,,,3249,2.1330578327178955,
,9.368098483647699e-05,9.368098483647699e-05,3299,,
