epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
0,,,49,10.18890380859375,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
0,,,99,5.036864757537842,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
0,,,149,3.3733177185058594,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
0,,,199,2.9764020442962646,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
0,,,249,3.0762414932250977,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
0,,,299,2.4482197761535645,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
0,,,349,3.1916890144348145,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
0,,,399,1.8243387937545776,
,5.338882282996434e-05,5.338882282996434e-05,449,,
