epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,2.3333333333333336e-05,2.3333333333333336e-05,49,,
0,,,49,8.02524185180664,
,4.714285714285714e-05,4.714285714285714e-05,99,,
0,,,99,5.437121391296387,
,7.095238095238096e-05,7.095238095238096e-05,149,,
0,,,149,4.555601119995117,
,9.476190476190476e-05,9.476190476190476e-05,199,,
0,,,199,4.57110595703125,
,9.793977812995247e-05,9.793977812995247e-05,249,,
0,,,249,4.130865097045898,
,9.529846804014792e-05,9.529846804014792e-05,299,,
0,,,299,3.7373745441436768,
,9.265715795034337e-05,9.265715795034337e-05,349,,
0,,,349,4.15858793258667,
,9.001584786053883e-05,9.001584786053883e-05,399,,
0,,,399,3.5306735038757324,
,8.737453777073428e-05,8.737453777073428e-05,449,,
0,,,449,2.7319209575653076,
,8.473322768092975e-05,8.473322768092975e-05,499,,
0,,,499,2.994199514389038,
,8.20919175911252e-05,8.20919175911252e-05,549,,
0,,,549,3.706296443939209,
,7.945060750132066e-05,7.945060750132066e-05,599,,
0,,,599,3.174948215484619,
,7.680929741151611e-05,7.680929741151611e-05,649,,
0,,,649,2.5537121295928955,
,7.416798732171158e-05,7.416798732171158e-05,699,,
0,,,699,3.064099073410034,
,7.152667723190702e-05,7.152667723190702e-05,749,,
0,,,749,3.069087505340576,
,6.888536714210249e-05,6.888536714210249e-05,799,,
0,,,799,2.738682508468628,
,6.624405705229794e-05,6.624405705229794e-05,849,,
0,,,849,2.6834707260131836,
,6.36027469624934e-05,6.36027469624934e-05,899,,
0,,,899,3.1013705730438232,
,6.096143687268886e-05,6.096143687268886e-05,949,,
0,,,949,2.787208318710327,
,5.832012678288431e-05,5.832012678288431e-05,999,,
0,,,999,2.592949867248535,
,5.567881669307977e-05,5.567881669307977e-05,1049,,
0,,,1049,3.178380012512207,
,5.303750660327522e-05,5.303750660327522e-05,1099,,
0,,,1099,2.4394686222076416,
,5.039619651347068e-05,5.039619651347068e-05,1149,,
0,,,1149,2.4384326934814453,
,4.775488642366614e-05,4.775488642366614e-05,1199,,
0,,,1199,2.3342156410217285,
,4.5113576333861596e-05,4.5113576333861596e-05,1249,,
0,,,1249,2.690462589263916,
,4.247226624405705e-05,4.247226624405705e-05,1299,,
0,,,1299,2.4660255908966064,
,3.983095615425251e-05,3.983095615425251e-05,1349,,
0,,,1349,2.5663087368011475,
,3.718964606444797e-05,3.718964606444797e-05,1399,,
0,,,1399,2.112926483154297,
,3.4548335974643426e-05,3.4548335974643426e-05,1449,,
0,,,1449,2.818202495574951,
,3.190702588483888e-05,3.190702588483888e-05,1499,,
0,,,1499,2.903616189956665,
,2.9265715795034338e-05,2.9265715795034338e-05,1549,,
0,,,1549,2.7492785453796387,
,2.6624405705229792e-05,2.6624405705229792e-05,1599,,
0,,,1599,3.4355645179748535,
,2.3983095615425253e-05,2.3983095615425253e-05,1649,,
0,,,1649,2.6749143600463867,
,2.1341785525620707e-05,2.1341785525620707e-05,1699,,
0,,,1699,3.390519380569458,
,1.8700475435816164e-05,1.8700475435816164e-05,1749,,
0,,,1749,3.425712823867798,
,1.6059165346011622e-05,1.6059165346011622e-05,1799,,
0,,,1799,2.640989303588867,
,1.341785525620708e-05,1.341785525620708e-05,1849,,
0,,,1849,2.2661240100860596,
,1.0776545166402537e-05,1.0776545166402537e-05,1899,,
0,,,1899,3.14667010307312,
,8.135235076597993e-06,8.135235076597993e-06,1949,,
0,,,1949,3.295651435852051,
,5.49392498679345e-06,5.49392498679345e-06,1999,,
0,,,1999,2.059016466140747,
,2.8526148969889066e-06,2.8526148969889066e-06,2049,,
0,,,2049,2.84626841545105,
,2.1130480718436346e-07,2.1130480718436346e-07,2099,,
0,,,2099,3.036508560180664,
0,,,2102,,0.0
