epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,2.3333333333333336e-05,2.3333333333333336e-05,49,,
0,,,49,7.74928092956543,
,4.714285714285714e-05,4.714285714285714e-05,99,,
0,,,99,5.947022438049316,
,7.095238095238096e-05,7.095238095238096e-05,149,,
0,,,149,4.448888301849365,
,9.476190476190476e-05,9.476190476190476e-05,199,,
0,,,199,4.254189968109131,
,9.793977812995247e-05,9.793977812995247e-05,249,,
0,,,249,3.1717066764831543,
,9.529846804014792e-05,9.529846804014792e-05,299,,
0,,,299,4.108359336853027,
,9.265715795034337e-05,9.265715795034337e-05,349,,
0,,,349,3.6342458724975586,
,9.001584786053883e-05,9.001584786053883e-05,399,,
0,,,399,3.7866289615631104,
,8.737453777073428e-05,8.737453777073428e-05,449,,
0,,,449,3.3869845867156982,
,8.473322768092975e-05,8.473322768092975e-05,499,,
0,,,499,3.1494667530059814,
,8.20919175911252e-05,8.20919175911252e-05,549,,
0,,,549,3.4184458255767822,
,7.945060750132066e-05,7.945060750132066e-05,599,,
0,,,599,2.8701045513153076,
,7.680929741151611e-05,7.680929741151611e-05,649,,
0,,,649,2.399696111679077,
,7.416798732171158e-05,7.416798732171158e-05,699,,
0,,,699,2.4780547618865967,
,7.152667723190702e-05,7.152667723190702e-05,749,,
0,,,749,3.053548812866211,
,6.888536714210249e-05,6.888536714210249e-05,799,,
0,,,799,1.8635170459747314,
,6.624405705229794e-05,6.624405705229794e-05,849,,
0,,,849,2.4046576023101807,
,6.36027469624934e-05,6.36027469624934e-05,899,,
0,,,899,2.8532228469848633,
,6.096143687268886e-05,6.096143687268886e-05,949,,
0,,,949,2.560725212097168,
,5.832012678288431e-05,5.832012678288431e-05,999,,
0,,,999,2.4070851802825928,
,5.567881669307977e-05,5.567881669307977e-05,1049,,
0,,,1049,2.2193686962127686,
,5.303750660327522e-05,5.303750660327522e-05,1099,,
0,,,1099,2.344648599624634,
,5.039619651347068e-05,5.039619651347068e-05,1149,,
0,,,1149,2.4725265502929688,
,4.775488642366614e-05,4.775488642366614e-05,1199,,
0,,,1199,2.3240342140197754,
,4.5113576333861596e-05,4.5113576333861596e-05,1249,,
0,,,1249,2.5978927612304688,
,4.247226624405705e-05,4.247226624405705e-05,1299,,
0,,,1299,1.8803205490112305,
,3.983095615425251e-05,3.983095615425251e-05,1349,,
0,,,1349,2.8534655570983887,
,3.718964606444797e-05,3.718964606444797e-05,1399,,
0,,,1399,2.543837070465088,
,3.4548335974643426e-05,3.4548335974643426e-05,1449,,
0,,,1449,2.434126138687134,
,3.190702588483888e-05,3.190702588483888e-05,1499,,
0,,,1499,2.601486921310425,
,2.9265715795034338e-05,2.9265715795034338e-05,1549,,
0,,,1549,2.513200521469116,
,2.6624405705229792e-05,2.6624405705229792e-05,1599,,
0,,,1599,2.1142544746398926,
,2.3983095615425253e-05,2.3983095615425253e-05,1649,,
0,,,1649,2.5962300300598145,
,2.1341785525620707e-05,2.1341785525620707e-05,1699,,
0,,,1699,3.1213481426239014,
,1.8700475435816164e-05,1.8700475435816164e-05,1749,,
0,,,1749,2.458416223526001,
,1.6059165346011622e-05,1.6059165346011622e-05,1799,,
0,,,1799,2.4964065551757812,
,1.341785525620708e-05,1.341785525620708e-05,1849,,
0,,,1849,2.1506149768829346,
,1.0776545166402537e-05,1.0776545166402537e-05,1899,,
0,,,1899,2.1516685485839844,
,8.135235076597993e-06,8.135235076597993e-06,1949,,
0,,,1949,1.9875297546386719,
,5.49392498679345e-06,5.49392498679345e-06,1999,,
0,,,1999,2.013824224472046,
,2.8526148969889066e-06,2.8526148969889066e-06,2049,,
0,,,2049,2.7119240760803223,
,2.1130480718436346e-07,2.1130480718436346e-07,2099,,
0,,,2099,2.6986851692199707,
0,,,2102,,0.0
